uid	vid	time
18045	4d90ef861716a1430e6d6df7	1352515399
10377	4d90ef861716a1430e6d6df7	1352515399
4937	4d90ef861716a1430e6d6df7	1352515399
14214	4d90ef861716a1430e6d6df7	1352515399
11302	4d90ef861716a1430e6d6df7	1352515399
10820	4d90ef861716a1430e6d6df7	1352515399
4019	4d90ef861716a1430e6d6df7	1352515399
8293	4d90ef861716a1430e6d6df7	1352515399
18040	4d90ef861716a1430e6d6df7	1352515399
5828	4d90ef861716a1430e6d6df7	1352515399
1480	4d90ef861716a1430e6d6df7	1352515399
10690	4d90ef861716a1430e6d6df7	1352515399
6865	4d90ef861716a1430e6d6df7	1352515399
19789	4d90ef861716a1430e6d6df7	1352515399
5422	4d90ef861716a1430e6d6df7	1352515399
964	4d90ef861716a1430e6d6df7	1352515399
14548	4d90ef861716a1430e6d6df7	1352515399
8151	4d90ef861716a1430e6d6df7	1352515399
14625	4d90ef861716a1430e6d6df7	1352515399
17207	4d90ef861716a1430e6d6df7	1352515399
17864	4d90ef861716a1430e6d6df7	1352515399
1573	4d90ef861716a1430e6d6df7	1352515399
9706	4d90ef861716a1430e6d6df7	1352515399
8524	4d90ef861716a1430e6d6df7	1352515399
1579	4d90ef861716a1430e6d6df7	1352515399
8594	4d90ef861716a1430e6d6df7	1352515399
7674	4d90ef861716a1430e6d6df7	1352515399
18861	4d90ef861716a1430e6d6df7	1352515399
11817	4d90ef861716a1430e6d6df7	1352515399
7595	4d90ef861716a1430e6d6df7	1352515399
2572	4d90ef861716a1430e6d6df7	1352515399
2920	4d90ef861716a1430e6d6df7	1352515399
754	4d90ef861716a1430e6d6df7	1352515399
11667	4d90ef861716a1430e6d6df7	1352515399
19732	4d90ef861716a1430e6d6df7	1352515399
10993	4d90ef861716a1430e6d6df7	1352515399
962	4d90ef861716a1430e6d6df7	1352515399
18068	4d90ef861716a1430e6d6df7	1352515399
8633	4d90ef861716a1430e6d6df7	1352515399
216	4d90ef861716a1430e6d6df7	1352515399
13261	4d90ef861716a1430e6d6df7	1352515399
15807	4d90ef861716a1430e6d6df7	1352515399
7414	4d90ef861716a1430e6d6df7	1352515399
9608	4d90ef861716a1430e6d6df7	1352515399
1065	4d90ef861716a1430e6d6df7	1352515399
1155	4d90ef861716a1430e6d6df7	1352515399
917	4d90ef861716a1430e6d6df7	1352515399
11678	4d90ef861716a1430e6d6df7	1352515399
12808	4d90ef861716a1430e6d6df7	1352515399
8556	4d90ef861716a1430e6d6df7	1352515399
12764	4d90ef861716a1430e6d6df7	1352515399
4447	4d90ef861716a1430e6d6df7	1352515399
5307	4d90ef861716a1430e6d6df7	1352515399
2774	4d90ef861716a1430e6d6df7	1352515399
5705	4d90ef861716a1430e6d6df7	1352515399
16150	4d90ef861716a1430e6d6df7	1352515399
2405	4d90ef861716a1430e6d6df7	1352515399
1970	4d90ef861716a1430e6d6df7	1352515399
13841	4d90ef861716a1430e6d6df7	1352515399
5166	4d90ef861716a1430e6d6df7	1352515399
1512	4d90ef861716a1430e6d6df7	1352515399
6837	4d90ef861716a1430e6d6df7	1352515399
14772	4d90ef861716a1430e6d6df7	1352515399
2947	3fd66200f964a5209fe51ee3	1352515508
3961	3fd66200f964a5209fe51ee3	1352515508
10174	3fd66200f964a5209fe51ee3	1352515508
16599	3fd66200f964a5209fe51ee3	1352515508
19974	3fd66200f964a5209fe51ee3	1352515508
10644	3fd66200f964a5209fe51ee3	1352515508
19355	3fd66200f964a5209fe51ee3	1352515508
2446	3fd66200f964a5209fe51ee3	1352515508
9487	3fd66200f964a5209fe51ee3	1352515508
13061	3fd66200f964a5209fe51ee3	1352515508
16246	3fd66200f964a5209fe51ee3	1352515508
18758	3fd66200f964a5209fe51ee3	1352515508
7765	3fd66200f964a5209fe51ee3	1352515508
14195	3fd66200f964a5209fe51ee3	1352515508
7579	3fd66200f964a5209fe51ee3	1352515508
10193	3fd66200f964a5209fe51ee3	1352515508
14069	3fd66200f964a5209fe51ee3	1352515508
3512	3fd66200f964a5209fe51ee3	1352515508
9511	3fd66200f964a5209fe51ee3	1352515508
12550	3fd66200f964a5209fe51ee3	1352515508
13020	3fd66200f964a5209fe51ee3	1352515508
3934	3fd66200f964a5209fe51ee3	1352515508
8361	3fd66200f964a5209fe51ee3	1352515508
18317	3fd66200f964a5209fe51ee3	1352515508
13478	3fd66200f964a5209fe51ee3	1352515508
